,O,sO,aO,C,sC,aC,F,sF,aF,FO,FC,OC,InOr
4174,0.22101271982433002,0.22101271982433002,0.0,0.2652653540234246,0.2652653540234246,0.0,0.036023796791508855,0.0,0.036023796791508855,0.14015050182674715,0.1195655293065512,0.45449863300545473,0.03737000630472777
4175,0.2190812090428709,0.2190812090428709,0.0,0.26294710332884436,0.26294710332884436,0.0,0.04319985579476823,0.0,0.04319985579476823,0.16470825227703878,0.1411082308915748,0.45449863300545473,0.04515034415118351
4176,0.21754914081327997,0.21754914081327997,0.0,0.26110827422600585,0.26110827422600585,0.0,0.048891883050374826,0.0,0.048891883050374826,0.18349983175036194,0.15771567175943482,0.45449863300545473,0.05140517905280831
4177,0.21612876893240457,0.21612876893240457,0.0,0.25940350605644164,0.25940350605644164,0.0,0.05416892966154238,0.0,0.05416892966154238,0.2004047017171142,0.1727477402071782,0.45449863300545473,0.05727125208749855
4178,0.2142102148464861,0.2142102148464861,0.0,0.2571008063330105,0.2571008063330105,0.0,0.061296851210649546,0.0,0.061296851210649546,0.22248740145901585,0.1925166525518306,0.45449863300545473,0.06529950526926895
4251,0.23603440129942513,0.23603440129942513,0.0,0.2747139349110372,0.2747139349110372,0.0,0.016989423666162306,0.0,0.016989423666162306,0.06714554911369693,0.05824212566159413,0.46213444971882056,0.017283052771949598
4252,0.2341015865531548,0.2341015865531548,0.0,0.2724643850933882,0.2724643850933882,0.0,0.02386918753284317,0.0,0.02386918753284317,0.09252671205648304,0.08054837432459812,0.46213444971882056,0.02445285737114899
4253,0.23246128862515808,0.23246128862515808,0.0,0.2705552875391941,0.2705552875391941,0.0,0.029707751439393918,0.0,0.029707751439393918,0.1133152542805176,0.09893908867522118,0.46213444971882056,0.03061732326880309
4254,0.2310025649902235,0.2310025649902235,0.0,0.2688575193007743,0.2688575193007743,0.0,0.03490001012557241,0.0,0.03490001012557241,0.13125111748306334,0.11489430464977084,0.46213444971882056,0.0361620666166553
4255,0.22905329829533472,0.22905329829533472,0.0,0.26658882151351987,0.26658882151351987,0.0,0.04183833393539307,0.0,0.04183833393539307,0.15444675640537286,0.13565061699738387,0.46213444971882056,0.043665213728736246
4256,0.22769476479471268,0.22769476479471268,0.0,0.26500766181133345,0.26500766181133345,0.0,0.04667397051530355,0.0,0.04667397051530355,0.17011402725082886,0.14974886446433275,0.46213444971882056,0.04895908542488066
4257,0.2264285398428523,0.2264285398428523,0.0,0.26353393748516274,0.26353393748516274,0.0,0.051181039124805844,0.0,0.051181039124805844,0.1843633757708645,0.16262663974913194,0.46213444971882056,0.05394183847000303
4258,0.22403121908675597,0.22403121908675597,0.0,0.26074376192378057,0.26074376192378057,0.0,0.059714190450591884,0.0,0.059714190450591884,0.21044989079455761,0.18634017351777638,0.46213444971882056,0.0635064252210797
4331,0.24458830304109758,0.24458830304109758,0.0,0.27654617196126197,0.27654617196126197,0.0,0.021356838796159443,0.0,0.021356838796159443,0.08030542934011778,0.07169057721793233,0.4693381742591298,0.02182290710527026
4332,0.24288769208387276,0.24288769208387276,0.0,0.27462335944582916,0.27462335944582916,0.0,0.027168019637693327,0.0,0.027168019637693327,0.10060153686252786,0.09002251727732231,0.4693381742591298,0.0279267336869161
4333,0.24071807907707313,0.24071807907707313,0.0,0.2721702651473378,0.2721702651473378,0.0,0.03458183376437116,0.0,0.03458183376437116,0.12561512790702611,0.11273544300775819,0.4693381742591298,0.03582057493201428
4334,0.23862712496845942,0.23862712496845942,0.0,0.2698061073062057,0.2698061073062057,0.0,0.04172686149977462,0.0,0.04172686149977462,0.14883634088970785,0.13394043545279377,0.4693381742591298,0.04354380794298431
4335,0.23720681192933715,0.23720681192933715,0.0,0.26820021639044134,0.26820021639044134,0.0,0.046580232511447384,0.0,0.046580232511447384,0.16413798101049992,0.14797689206538234,0.4693381742591298,0.048855954218514415
